date,high,low,open,close,Volume
1487709000000,1735.0,1732.0,1735.0,1735.0,200092216
1487968200000,1735.0,1711.0,1712.0,1711.0,202840595
1488054600000,1799.0,1710.0,1799.0,1712.0,82700411
1488141000000,1828.0,1731.0,1750.0,1828.0,34368031
1488227400000,1820.0,1580.0,1751.0,1601.0,1439081607
1488573000000,1600.0,1500.0,1500.0,1501.0,704169027
1488745800000,1480.0,1413.0,1480.0,1470.0,921830465
1488832200000,1460.0,1410.0,1460.0,1440.0,499784675
1489350600000,1500.0,1306.0,1500.0,1306.0,102037260
1489437000000,1532.0,1400.0,1400.0,1532.0,235208613
1489523400000,1624.0,1624.0,1624.0,1624.0,403661440
1489782600000,1786.0,1600.0,1778.0,1786.0,2612439381
1490387400000,1962.0,1962.0,1962.0,1962.0,76013766
1490473800000,2158.0,2158.0,2158.0,2158.0,207168000
1490556600000,2373.0,2373.0,2373.0,2373.0,58091040
1490643000000,2610.0,2610.0,2610.0,2610.0,368560710
1490729400000,2871.0,2500.0,2871.0,2600.0,12438383431
1491161400000,2865.0,2510.0,2611.0,2510.0,5578694946
1491247800000,2610.0,2377.0,2610.0,2377.0,2461550781
1491334200000,2372.0,2160.0,2360.0,2190.0,867916089
1491593400000,2300.0,2122.0,2270.0,2200.0,1124555593
1491679800000,2406.0,2171.0,2276.0,2406.0,3112447525
1491766200000,2630.0,2551.0,2570.0,2630.0,6559397959
1491939000000,2882.0,2655.0,2750.0,2882.0,7876034938
1492198200000,3108.0,2989.0,2989.0,3108.0,6216006055
1492284600000,3407.0,2850.0,3407.0,2921.0,10728123480
1492371000000,3089.0,2857.0,3000.0,2857.0,3654855826
1492457400000,2980.0,2650.0,2650.0,2850.0,2670538492
1492543800000,3097.0,2810.0,2998.0,2900.0,4052359653
1492803000000,3149.0,2760.0,2980.0,2760.0,5199751881
1492889400000,2900.0,2672.0,2900.0,2672.0,5537911033
1492975800000,2734.0,2432.0,2499.0,2432.0,2567966888
1493148600000,2526.0,2310.0,2310.0,2436.0,1309806055
1493407800000,2676.0,2500.0,2584.0,2546.0,1392811477
1493494200000,2789.0,2611.0,2650.0,2611.0,1166012609
1493580600000,2772.0,2409.0,2650.0,2409.0,1936964405
1493667000000,2500.0,2312.0,2387.0,2330.0,809537450
1493753400000,2450.0,2350.0,2360.0,2352.0,496998945
1494012600000,2598.0,2450.0,2478.0,2490.0,599256186
1494099000000,2560.0,2308.0,2560.0,2380.0,510644488
1494185400000,2499.0,2210.0,2495.0,2225.0,1012985003
1494271800000,2370.0,2210.0,2370.0,2250.0,1055411465
1494358200000,2344.0,2170.0,2260.0,2189.0,290968156
1494617400000,2320.0,2102.0,2290.0,2102.0,275056307
1494703800000,2148.0,2035.0,2080.0,2148.0,1110747977
1494790200000,2250.0,2072.0,2149.0,2145.0,390598442
1494876600000,2288.0,2107.0,2150.0,2115.0,406838882
1494963000000,2185.0,2091.0,2112.0,2151.0,801551497
1495222200000,2333.0,2185.0,2185.0,2292.0,675390963
1495308600000,2387.0,2206.0,2255.0,2289.0,562380747
1495395000000,2350.0,2230.0,2290.0,2300.0,1271887640
1495481400000,2450.0,2255.0,2342.0,2388.0,1305777319
1495567800000,2500.0,2367.0,2457.0,2422.0,2975494510
1495827000000,2494.0,2311.0,2410.0,2400.0,711901819
1495913400000,2477.0,2338.0,2451.0,2338.0,725231462
1495999800000,2400.0,2230.0,2321.0,2280.0,544943898
1496086200000,2290.0,2200.0,2250.0,2210.0,379535873
1496172600000,2339.0,2105.0,2339.0,2180.0,244430642
