date,open,Volume
1578083400000,1106.0,1266752676
1578169800000,1084.0,1056882656
1578342600000,1063.0,694431325
1578429000000,1042.0,138177536
1578688200000,1062.0,3637272474
1578774600000,1083.0,10186082145
1578861000000,1103.0,5473301085
1578947400000,1125.0,3721091625
1579033800000,1147.0,1669841598
1579379400000,1487.0,17715021535
1579465800000,1414.0,99658079985
1579552200000,1497.0,3879819810
1579638600000,1541.0,5826994087
1579897800000,1618.0,3582564274
1579984200000,1666.0,87331338735
1580070600000,1715.0,61197444650
1580157000000,1757.0,5220660193
1580502600000,1844.0,24530499201
1580589000000,1898.0,4368247000
1580675400000,1954.0,775814206
1580761800000,2012.0,6174242508
1580848200000,2112.0,6038759232
1581107400000,2175.0,3192721650
1581193800000,2240.0,3231224640
1581280200000,2307.0,90453004816
1581453000000,2375.0,42941660641
1581712200000,2431.0,3531661991
1581798600000,2503.0,6132545234
1581885000000,2578.0,33923313125
1581971400000,2706.0,5419674216
1582057800000,2787.0,3122120028
1582317000000,2868.0,24537634680
1582403400000,2956.0,1255498924
1582489800000,3103.0,2597539918
1582576200000,3196.0,878455756
1582662600000,3291.0,24975356217
1582921800000,3193.0,144727928258
1583008200000,3120.0,47524555752
1583094600000,3051.0,7072870914
1583181000000,2954.0,8406519786
1583267400000,2945.0,2640460495
1583526600000,2933.0,1454943980
1583699400000,2926.0,381357284
1583785800000,2864.0,435663088
1583872200000,2921.0,451896226
1584131400000,2919.0,170589279
1584217800000,2918.0,720524232
1584304200000,2855.0,3104355700
1584390600000,2891.0,330218693
1584477000000,2889.0,1007940321
1584991800000,2884.0,237690628
1585078200000,2824.0,3224561808
1585337400000,2859.0,339611879502
1585423800000,2905.0,114824061952
1585510200000,2752.0,7028261248
1585942200000,2721.0,244298771796
1586028600000,2902.0,124230891922
1586115000000,2799.0,98055836521
1586201400000,2791.0,50409378565
1586287800000,2740.0,44758990551
1586547000000,2760.0,30851803627
1586633400000,2670.0,86417713458
1586719800000,2640.0,39436972817
1586806200000,2518.0,17623673368
1586892600000,2446.0,54110507628
1587151800000,2470.0,19633748939
1587238200000,2604.0,60973051059
1587324600000,2614.0,51356586264
1587411000000,2720.0,41388358585
1587497400000,2723.0,48076732340
1587756600000,2832.0,16377237936
1587843000000,2899.0,101195896799
1587929400000,2769.0,24080297839
1588015800000,2626.0,11746749248
1588102200000,2578.0,173720523083
1588361400000,2766.0,27784027440
1588447800000,2848.0,79543565339
1588534200000,2757.0,101609621290
1588620600000,2757.0,58546738226
1588707000000,2769.0,42562216933
1588966200000,2685.0,27801548933
1589052600000,2834.0,75637943748
1589139000000,2878.0,53142783543
1589225400000,2895.0,114809522599
1589311800000,2910.0,74593228538
1589571000000,2919.0,14781461092
1589657400000,2775.0,4049454825
1589743800000,2757.0,42632831603
1589830200000,2760.0,13734401887
1589916600000,2652.0,3843265140
1590175800000,2636.0,1514671960
1590435000000,2576.0,1920104032
1590521400000,2617.0,4790264097
1590780600000,2597.0,11080604318
1590867000000,2553.0,5844741186
1590953400000,2477.0,71100768135
1591039800000,2558.0,26719545228
1591385400000,2634.0,32608559193
1591471800000,2647.0,36442028663
1591558200000,2686.0,25471131554
1591644600000,2493.0,30480543184
1591731000000,2445.0,25310767099
1591990200000,2550.0,63438675687
1592076600000,2598.0,26252649165
1592163000000,2671.0,19557382520
1592249400000,2744.0,11946163152
1592595000000,2789.0,28411628115
1592681400000,2924.0,58083595722
1592767800000,2770.0,59541979355
1592854200000,2749.0,55302537973
1592940600000,2631.0,24834266511
1593199800000,2700.0,36652891971
1593286200000,2786.0,37039062060
1593372600000,2869.0,18253493211
1593459000000,2997.0,10406570013
1593545400000,3007.0,11612183019
1593804600000,3052.0,74804370452
1593891000000,3143.0,8071877744
1593977400000,3241.0,13011480650
1594063800000,3274.0,10105138794
1594150200000,3318.0,35096745558
1594409400000,3417.0,13340005587
1594495800000,3551.0,8759983206
1594582200000,3554.0,7811485868
1594668600000,3593.0,10530533271
1594755000000,3646.0,8341708922
1595014200000,3759.0,25779631731
