conversion_line,base_line,lagging_span,leading_line1,leading_line2
9230.78,9196.27,9206.32,9261.508,9251.25
9230.78,9196.27,9197.6,9269.898,9251.25
9243.765,9196.27,9213.54,9268.875,9251.25
9244.455,9196.27,9221.6,9267.15,9251.25
9249.275,9196.27,9200.99,9267.15,9251.25
9257.665,9196.27,9203.59,9267.15,9251.25
9253.625,9196.27,9204.01,9265.475,9251.25
9251.055,9196.27,9199.02,9258.958,9251.25
9251.055,9196.27,9177.11,9229.418,9248.0
9249.53,9196.27,9123.69,9227.858,9248.0
9247.58,9196.27,9123.01,9224.608,9248.0
9238.375,9196.27,9069.98,9223.955,9248.0
9226.1,9196.27,9100.0,9223.135,9248.0
9220.58,9196.27,9081.61,9223.135,9248.0
9219.475,9196.27,9080.0,9223.135,9248.0
9218.99,9196.27,9082.66,9202.102,9229.0
9218.99,9230.78,9110.64,9202.955,9229.0
9218.99,9230.78,9125.26,9202.955,9229.0
9218.99,9230.78,9116.56,9200.498,9229.0
9218.275,9233.055,9125.21,9199.475,9229.0
9218.275,9233.055,9125.19,9197.75,9229.0
9205.275,9220.055,9126.13,9206.0,9228.41
9204.775,9220.055,9111.19,9206.0,9228.41
9204.285,9220.055,9126.11,9204.325,9228.41
9204.285,9220.055,9138.13,9215.448,9228.41
9204.285,9220.055,9133.72,9213.525,9228.41
9204.285,9218.53,9117.47,9213.525,9228.41
9198.92,9218.53,9118.05,9220.018,9228.41
9198.92,9218.53,9123.85,9220.363,9228.41
9198.92,9212.385,9119.81,9222.773,9228.41
9202.15,9206.865,9115.95,9226.968,9228.41
9207.52,9205.76,9102.39,9224.948,9228.41
9207.52,9205.275,9121.64,9223.662,9228.41
9193.08,9200.985,9109.94,9223.662,9228.41
9155.075,9166.99,9109.99,9222.9,9228.41
9155.075,9166.99,9123.0,9221.925,9228.41
9139.575,9151.49,9117.69,9217.322,9228.41
9136.7,9148.615,9138.92,9211.185,9228.41
9132.035,9148.615,9162.87,9208.425,9228.41
9132.035,9148.115,9161.58,9207.873,9228.41
9128.625,9147.625,9152.19,9207.63,9228.41
9127.625,9147.625,9148.37,9224.885,9228.41
9112.36,9147.625,9152.09,9224.885,9228.41
9095.45,9147.625,9149.87,9224.885,9228.41
9095.45,9142.26,9161.74,9225.665,9223.495
9100.125,9142.26,9164.75,9225.665,9221.45
9111.155,9142.26,9155.45,9212.665,9218.0
9111.155,9142.26,9151.38,9212.415,9218.0
9111.155,9142.26,9162.82,9212.17,9218.0
9111.495,9142.26,9154.32,9212.17,9214.65
9122.05,9140.71,9149.97,9212.17,9201.615
9122.05,9136.7,9140.44,9211.408,9196.27
9122.05,9136.7,9142.24,9208.725,9196.27
9122.05,9136.7,9135.02,9208.725,9196.27
9119.5,9136.7,9140.54,9205.652,9196.27
9119.5,9132.035,9135.63,9204.508,9196.27
9118.855,9132.035,9133.47,9206.64,9196.27
9118.855,9128.625,9132.37,9206.398,9196.27
9118.855,9127.625,9153.42,9197.033,9196.27
9115.935,9112.36,9165.83,9161.033,9181.77
9114.905,9100.125,9166.97,9161.033,9181.77
9112.405,9100.125,9159.9,9145.533,9166.27
9115.94,9100.125,9165.69,9142.658,9163.395
9138.32,9128.07,9167.54,9140.325,9163.395
9138.32,9128.07,9163.66,9140.075,9163.395
9141.03,9128.07,9169.57,9138.125,9163.395
9141.03,9128.41,9164.57,9137.625,9163.395
9141.03,9138.32,9169.63,9129.992,9163.395
9143.56,9138.32,9183.0,9121.538,9163.395
9143.915,9138.32,9163.84,9118.855,9163.395
9143.915,9138.32,9172.09,9121.193,9163.395
9157.415,9138.32,9171.15,9126.708,9163.395
9154.0,9138.32,9164.73,9126.708,9163.395
9154.0,9138.32,9170.28,9126.708,9163.395
9154.0,9138.32,9177.82,9126.877,9163.395
9154.0,9138.32,9161.89,9131.38,9163.395
9154.0,9138.32,9157.52,9129.375,9163.395
9150.55,9138.32,9153.41,9129.375,9161.87
9150.55,9138.32,9153.22,9129.375,9161.87
9150.55,9138.32,9143.79,9128.1,9161.87
9144.99,9138.32,9157.4,9125.768,9155.725
9144.99,9138.32,9154.78,9125.445,9150.205
