time,open,volume
1584072000000,5167.26,67535382.95
1584075600000,4774.48,72450210.68
1584079200000,4956.52,60932309.43
1584082800000,5199.98,61847772.43
1584086400000,5385.87,86663793.57
1584090000000,5276.38,79458958.66
1584093600000,5584.33,67769859.16
1584097200000,5595.31,69819819.66
1584100800000,5403.56,66816750.21
1584104400000,5525.06,120465507.06
1584108000000,5608,92790938.95
1584111600000,5394.36,137797565.37
1584115200000,5212.37,82923133.63
1584118800000,5196.73,49882465.77
1584122400000,5183.87,87584483.44
1584126000000,4985.34,107481637.67
1584129600000,5391.08,66960997.02
1584133200000,5356.47,46764506.67
1584136800000,5499.89,36753266.93
1584140400000,5601.24,49234722.18
1584144000000,5578.6,36825299.78
1584147600000,5451.3,33760161.35
1584151200000,5482.84,33279550.2
1584154800000,5548.5,40889146.05
1584158400000,5573.97,36023080.76
1584162000000,5506.94,30167720.44
1584165600000,5431.06,26977254.2
1584169200000,5426,22164357.3
1584172800000,5500.4,50655087.57
1584176400000,5351.61,28625684.78
1584180000000,5233.7,41462990.99
1584183600000,5385.03,32960749.37
1584187200000,5448.38,29682960.7
1584190800000,5425.53,29708281.86
1584194400000,5300,19743491.88
1584198000000,5369.57,24819575.4
1584201600000,5311.38,42590864.23
1584205200000,5387.61,14082166.37
1584208800000,5396.66,26032374.69
1584212400000,5443.8,14443587.15
1584216000000,5386.85,24282136.48
1584219600000,5334.31,14344094.99
1584223200000,5300.76,28353213.03
1584226800000,5273.08,54778051.35
1584230400000,5172.06,34340688.1
1584234000000,5200.07,19667815.15
1584237600000,5153.42,15239201.96
1584241200000,5197.47,11530519.71
1584244800000,5178.64,17613745.14
1584248400000,5255.8,9410355.46
1584252000000,5252.24,11939374.13
1584255600000,5293.5,14435992.97
1584259200000,5272.23,16469703.43
1584262800000,5230.24,13598606.47
1584266400000,5244.91,52080030.34
1584270000000,5430.88,21958255.32
1584273600000,5429.99,66375075.86
1584277200000,5307.78,15732675.3
1584280800000,5333.78,25480703.67
1584284400000,5314.77,16894496.01
1584288000000,5324.48,19844922.53
1584291600000,5291.33,18804049.88
1584295200000,5302.71,12401223.19
1584298800000,5307.63,15977272.45
1584302400000,5312.35,30174730.36
1584306000000,5186.43,124804016.16
1584309600000,5903.77,126704327.36
1584313200000,5367.76,42277925.46
1584316800000,5361.3,51902797.05
1584320400000,5254.74,18005695.25
1584324000000,5301.5,23686252.23
1584327600000,5335.63,16099438.78
1584331200000,5273.34,15251909.34
1584334800000,5243.88,27510189.35
1584338400000,5158.42,88385245.62
1584342000000,5015.09,74793240.24
1584345600000,4785.67,47321936.54
1584349200000,4914.6,36317032.96
1584352800000,4820.6,104101803.61
1584356400000,4450.95,46888712.06
1584360000000,4565.59,86474996.61
1584363600000,4763.32,89054780.76
1584367200000,4840.16,95337494.81
