adx,DI_plus,DI_minus
11.19,0.17,0.27
11.61,0.21,0.25
12.04,0.19,0.24
13.22,0.18,0.25
14.42,0.17,0.27
15.73,0.15,0.29
17.23,0.14,0.27
18.83,0.13,0.3
18.78,0.19,0.27
18.42,0.18,0.25
18.06,0.16,0.24
18.85,0.15,0.24
19.44,0.17,0.22
20.04,0.17,0.21
19.19,0.16,0.19
19.34,0.14,0.18
18.74,0.18,0.17
17.62,0.16,0.16
16.42,0.15,0.17
14.74,0.14,0.16
14.4,0.13,0.22
12.53,0.16,0.21
12.29,0.15,0.2
11.28,0.17,0.19
10.05,0.18,0.17
8.51,0.16,0.16
8.01,0.15,0.17
7.66,0.14,0.16
7.96,0.13,0.18
8.73,0.12,0.19
10.71,0.11,0.21
12.7,0.11,0.19
14.84,0.1,0.21
15.75,0.13,0.2
15.32,0.12,0.18
16.5,0.11,0.2
16.1,0.16,0.19
16.22,0.15,0.17
16.24,0.16,0.16
16.51,0.15,0.17
16.42,0.17,0.15
17.64,0.23,0.14
18.22,0.21,0.13
17.58,0.2,0.15
16.11,0.18,0.15
14.19,0.17,0.18
11.6,0.16,0.16
10.54,0.15,0.17
10.45,0.14,0.21
10.41,0.13,0.23
11.73,0.12,0.21
13.73,0.11,0.23
15.55,0.12,0.21
17.74,0.11,0.24
20.32,0.11,0.25
21.16,0.11,0.23
21.11,0.14,0.22
21.7,0.13,0.2
22.91,0.12,0.2
24.64,0.11,0.19
25.32,0.15,0.18
25.84,0.14,0.17
24.8,0.17,0.16
22.92,0.16,0.16
21.46,0.17,0.15
19.11,0.16,0.16
17.82,0.15,0.17
15.92,0.13,0.16
14.4,0.13,0.19
13.71,0.12,0.19
13.91,0.11,0.18
13.04,0.14,0.17
11.45,0.14,0.15
10.21,0.13,0.16
10.47,0.12,0.16
10.87,0.12,0.17
11.91,0.11,0.16
14.4,0.1,0.21
14.83,0.15,0.2
15.75,0.14,0.19
17.0,0.13,0.22
19.89,0.12,0.36
21.1,0.16,0.33
22.13,0.15,0.33
20.37,0.31,0.31
19.67,0.29,0.29
19.73,0.27,0.29
19.1,0.27,0.27
19.03,0.32,0.25
18.63,0.3,0.23
17.94,0.28,0.23
15.89,0.26,0.22
15.13,0.24,0.23
14.46,0.23,0.21
13.06,0.22,0.25
10.24,0.2,0.24
8.19,0.26,0.23
6.4,0.28,0.21
7.43,0.26,0.19
7.96,0.24,0.21
8.06,0.22,0.2
8.37,0.21,0.23
7.9,0.19,0.22
7.87,0.18,0.23
8.73,0.17,0.26
11.28,0.16,0.39
14.74,0.15,0.45
15.77,0.29,0.42
16.68,0.27,0.39
18.17,0.25,0.46
19.47,0.25,0.43
19.86,0.27,0.4
19.74,0.29,0.37
20.58,0.26,0.39
22.22,0.25,0.44
24.4,0.23,0.48
27.29,0.21,0.58
