madc,signal,histogram
31.65,45.65,-14.0
30.85,42.69,-11.84
28.18,39.79,-11.61
24.11,36.65,-12.54
19.78,33.28,-13.5
5.55,27.73,-22.18
-5.83,21.02,-26.85
-9.34,14.95,-24.29
-6.72,10.62,-17.33
-3.9,7.71,-11.61
-3.46,5.48,-8.94
-0.71,4.24,-4.95
0.54,3.5,-2.96
0.14,2.83,-2.69
4.44,3.15,1.29
9.78,4.48,5.3
12.15,6.01,6.14
13.76,7.56,6.2
14.73,9.0,5.74
13.9,9.98,3.92
11.33,10.25,1.08
9.68,10.13,-0.45
9.77,10.06,-0.29
11.91,10.43,1.48
14.56,11.26,3.31
15.34,12.07,3.26
16.78,13.01,3.76
23.91,15.19,8.72
31.86,18.53,13.34
35.89,22.0,13.89
42.59,26.12,16.47
45.53,30.0,15.53
48.48,33.7,14.78
48.13,36.58,11.54
44.71,38.21,6.5
42.26,39.02,3.24
43.31,39.88,3.43
45.22,40.95,4.28
46.78,42.11,4.67
46.55,43.0,3.55
59.25,46.25,13.0
69.83,50.97,18.87
48.83,50.54,-1.71
36.5,47.73,-11.23
27.54,43.69,-16.15
19.54,38.86,-19.32
10.98,33.29,-22.31
3.27,27.28,-24.01
-5.22,20.78,-26.0
-10.17,14.59,-24.76
-13.06,9.06,-22.12
-14.96,4.26,-19.22
-19.89,-0.57,-19.31
-18.79,-4.22,-14.58
-17.56,-6.88,-10.68
-17.71,-9.05,-8.66
-13.1,-9.86,-3.24
-11.07,-10.1,-0.97
